dataset,size
HuggingFaceM4/the_cauldron,2M
jainr3/diffusiondb-pixelart,2M
WeiChow/CrispEdit-2M,2M
animetimm/pexels-tagger-v0-w640-ws-full,3M
CSU-JPG/TextAtlas5M,5M
ma-xu/fine-t2i,7M
common-canvas/commoncatalog-cc-by-sa,8M
Salesforce/blip3-kale,9M
Open-Bee/Honey-Data-15M,15M
stanford-oval/ccnews,18M
common-canvas/commoncatalog-cc-by-nc-sa,24M
HuggingFaceM4/FineVision,24M
vrg-prague/ilias,100M
linyq/laion_text_debiased_100M,100M
Hennara/Recap-DataComp-1B_split_6,111M
ljnlonoljpiljm/capsfusion-download,113M
Hennara/Recap-DataComp-1B_split_8,117M
Chr0my/public_flickr_photos_license_1,120M
gmanolache/CrypticBio,171M
laion/relaion-high-resolution,166M
zlab-princeton/i1-captions,166M
liangyuch/laion2b_seed,172M
adams-story/datacomp200m,200M
nielsr/wit_300m,300M
jasonhuang23/laion2b_en_sd2.1base,340M
laion/relaion400m,400M
Spravil/g400m,400M
laion/relaion-coco,640M
laion/relaion-synthetic-115m,640M
kakaobrain/coyo-700m,700M
laion/aesthetics_v2_4.75,955M
laion/relaion1b-nolang-research-safe,1B
UCSC-VLAA/Recap-DataComp-1B,1B
mlfoundations/datacomp_1b,1.3B
laion/aesthetics_v2_4.5,1.5B
laion/relaion2B-multi-research-safe,2B
laion/relaion2B-multi-joined-translated-to-en,2B
mlfoundations/datacomp_xlarge,12B
